iso2c,country,year,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
1A,Arab World,1995,253107289,3.42217881761596,4384.52851082289,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1996,259000953,3.42250186237732,4481.6977118283,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1999,276393837,3.32899115619571,4690.76111965187,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2000,282344154,3.70692217696847,4842.61206079694,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1997,264822188,3.27716204429215,4569.02636765747,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1998,270575803,3.3507261290471,4707.36437751783,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2003,301113849,3.79738077075293,4886.34941438461,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2004,307862843,4.0708612666193,5224.72916916463,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2001,288432163,3.60851554547334,4814.87582114625,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2002,294665185,3.60509809463917,4740.53722818037,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2007,330290716,4.11844652333491,5734.49210691552,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2008,338395961,4.40839561616399,5922.26597752644,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2009,346629220,4.5629249201784,5806.18528437373,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2010,354890042,4.63064477024689,5934.2906837414,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2011,363158703,4.57240666761606,6020.48689375278,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2012,371443547,4.95692831352378,6274.11113550431,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2013,379705717,4.80138953504353,6333.02744704596,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2014,387907747,4.98132952730124,6350.83801415886,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2015,396028278,4.93342026702447,6418.02869355086,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2005,314965793,4.18756339676544,5400.54005027667,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2006,322452754,4.28732266309005,5618.12920591447,ARB,Aggregates,,,,Aggregates,Aggregates
1W,World,1995,5706689090,4.0369334594326,7386.62571531305,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1996,5789623839,4.07134510453296,7527.545254632,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1999,6034491778,3.98694502952391,7928.27803139136,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2000,6114332536,4.03803863375611,8167.84099304816,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2001,6193671787,4.08104140310656,8221.28844469873,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2002,6272752974,4.08863510269008,8294.77479816804,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2003,6351882361,4.25823251483231,8434.21259393964,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2004,6431551644,4.41473264488024,8696.86570415111,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2005,6511748367,4.52873980042724,8926.04494230919,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2006,6592734542,4.6366362554508,9202.5422634913,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2007,6674203658,4.67179345997715,9483.24758622775,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2008,6756917904,4.76276202511636,9540.77603882364,WLD,Aggregates,,,,Aggregates,Aggregates
